,Serial,Event,Province,District,SubDistrict,Date,Location,Deaths,Injured,Missing,House_Destroyed,House_Damaged,Directly_Affected,Indirectly_Affected,Relocated,Evacuated,LossesUSD,LossesLocal,EducationCenter,Hospitals,CropsDamageHa,CattleLoss,RoadDamageM,GLIDENum,Comments
0,"
			13
",LANDSLIDES, SULAWESI SELATAN, TANA TORAJA, MENGKENDEK,2020/02/29, Kec. Mengkendek Lembang Mengkendek , , , , , , , , , ,0,0, , , ,0 , , , 
1,"
			12
",FLOODS, JAWA BARAT, KOTA BEKASI, ,2020/01/01, Kec. Jatiasih Kel. Jatirasa Kel. Jatikramat Kel. Jatimekar K ,, , , , , , , , ,0,0, , , ,0 , , ," BNPB, BPBD Kota. bekasi, relawan serta warga setempat masih melakukan evakuasi.
• Pihak Polres Kota Bekasi dan kelurahan setempat sudah Melakukan [...] "
2,"
			33176
",STRONG WIND, JAWA TENGAH, SEMARANG, ,2019/12/31,  ,,,,,5, ,, , ,0,0, , , ,0 , , , 
3,"
			33174
",FLOODS, KALIMANTAN SELATAN, TAPIN, ,2019/12/31,  ,,,,,, ,118, , ,0,0, , , ,0 , , , 
4,"
			33172
",FLOODS, JAWA BARAT, BANDUNG BARAT, ,2019/12/31,  ,,,,,,605,, ,605,0,0, , , ,0 , , , 
5,"
			33170
",STRONG WIND, JAWA TIMUR, JEMBER, ,2019/12/30,  ,,1,,1,, ,1, , ,0,0, , , ,0 , , , 
6,"
			33168
",STRONG WIND, BANTEN, SERANG, ,2019/12/30,  ,,,,1,, ,, , ,0,0, , , ,0 , , , 
7,"
			33166
",FLOODS, SUMATERA SELATAN, LAHAT, ,2019/12/30,  ,,,,7,, ,, , ,0,0,1, , ,0 , , , 
8,"
			33164
",STRONG WIND, JAWA BARAT, KOTA TASIKMALAYA, ,2019/12/29,  ,,,,,1, ,9, , ,0,0, , , ,0 , , , 
9,"
			33162
",FLOODS, BANTEN, KOTA CILEGON, ,2019/12/29,  ,,,,,, ,, , ,0,0, , , ,0 , , , 
10,"
			33160
",FLOODS, SUMATERA UTARA, LABUHAN BATU UTARA, ,2019/12/29,  ,3,,2,27,,128,616, ,128,0,0, , , ,0 , , , 
11,"
			33158
",STRONG WIND, JAWA TENGAH, CILACAP, ,2019/12/28,  ,,,,1,1, ,20, , ,0,0, , , ,0 , , , 
12,"
			33156
",STRONG WIND, JAWA TIMUR, JEMBER, ,2019/12/28,  ,,,,1,, ,, , ,0,0, , , ,0 , , , 
13,"
			33154
",FLOODS, RIAU, ROKAN HULU, ,2019/12/28,  ,,,,,, ,, , ,0,0, , , ,0 , , , 
14,"
			33152
",FLOODS, RIAU, INDRAGIRI HULU, ,2019/12/28,  ,,,,,, ,, , ,0,0, , , ,0 , , , 
15,"
			33150
",STRONG WIND, JAWA BARAT, BOGOR, ,2019/12/28,  ,,,,,, ,15, , ,0,0, , , ,0 , , , 
16,"
			33148
",STRONG WIND, JAWA TIMUR, JEMBER, ,2019/12/28,  ,,,,,1, ,, , ,0,0, , , ,0 , , , 
17,"
			33146
",LANDSLIDES, JAWA TENGAH, SEMARANG, ,2019/12/27,  ,,,,,, ,, , ,0,0, , , ,0 , , , 
18,"
			33144
",LANDSLIDES, JAWA TIMUR, BATU, ,2019/12/27,  ,,,,,1, ,, , ,0,0, , , ,0 , , , 
19,"
			33142
",FLOODS, JAWA TENGAH, BREBES, ,2019/12/27,  ,,,,,, ,, , ,0,0, , ,50,0 , , , 
20,"
			33140
",FLOODS, NUSA TENGGARA BARAT, SUMBAWA, ,2019/12/27,  ,,,,,, ,125, , ,0,0, , , ,0 , , , 
21,"
			33138
",STRONG WIND, JAWA TENGAH, MAGELANG, ,2019/12/27,  ,,,,,, ,, , ,0,0, , , ,0 , , , 
22,"
			33136
",STRONG WIND, JAWA BARAT, BOGOR, ,2019/12/26,  ,,,,1,4,5,, ,5,0,0, , , ,0 , , , 
23,"
			33134
",EARTHQUAKE, JAWA BARAT, SUKABUMI, ,2019/12/26,  ,,,,,, ,, , ,0,0,1, , ,0 , , , 
24,"
			33132
",STRONG WIND, JAWA TENGAH, CILACAP, ,2019/12/25,  ,,,,2,, ,, , ,0,0, , , ,0 , , , 
25,"
			33130
",LANDSLIDES, JAWA TENGAH, WONOGIRI, ,2019/12/25,  ,,,,,1, ,, , ,0,0, , , ,0 , , , 
26,"
			33128
",STRONG WIND, JAWA TENGAH, BOYOLALI, ,2019/12/25,  ,,,,,, ,, , ,0,0, , , ,0 , , , 
27,"
			33126
",STRONG WIND, JAWA TENGAH, KOTA SURAKARTA, ,2019/12/25,  ,,,,,, ,, , ,0,0, , , ,0 , , , 
28,"
			33124
",STRONG WIND, JAWA TENGAH, BANYUMAS, ,2019/12/25,  ,,1,,,4,10,1, ,10,0,0, , , ,0 , , , 
29,"
			33122
",STRONG WIND, JAWA TIMUR, BOJONEGORO, ,2019/12/25,  ,,,,1,, ,, , ,0,0, , , ,0 , , , 
30,"
			33120
",STRONG WIND, JAWA TIMUR, SIDOARJO, ,2019/12/25,  ,,,,,4, ,, , ,0,0,1, , ,0 , , , 
31,"
			33118
",STRONG WIND, NUSA TENGGARA BARAT, BIMA, ,2019/12/25,  ,,,,,, ,5, , ,0,0, , , ,0 , , , 
32,"
			33116
",STRONG WIND, JAWA TIMUR, NGANJUK, ,2019/12/25,  ,,,,3,, ,, , ,0,0, , , ,0 , , , 
